Date,Open,High,Low,Close,Adj Close,Volume,3M,5M
2016-03-08,24460,24480,23720,23840,20252.78711,10810100,20558.61719,20548.42109
2016-03-09,23760,23980,23540,23880,20286.76563,9169000,20439.68229,20538.22695
2016-03-10,24160,24720,24020,24500,20813.47656,14177000,20451.00977,20555.21875
2016-03-11,24500,25060,24320,24980,21221.25195,13361250,20773.83138,20670.75508
2016-03-14,25340,25460,24980,25100,21323.19336,10857700,21119.30729,20779.49492
2016-03-15,25100,25280,24920,25060,21289.21289,8640400,21277.88607,20986.78008
2016-03-16,25120,25260,25060,25120,21340.18555,7342800,21317.5306,21197.46406
2016-03-17,25300,25920,25140,25260,21459.11914,12343450,21362.83919,21326.59258
2016-03-18,25560,25560,25260,25460,21629.02148,11265700,21476.10872,21408.14648
2016-03-21,25480,25580,25160,25340,21527.07422,9058500,21538.40495,21448.92266
2016-03-22,25340,25580,25240,25380,21561.05859,10143600,21572.38477,21503.2918
2016-03-23,25380,25580,25240,25580,21730.9668,9870900,21606.36654,21581.44805
2016-03-24,25580,25800,25320,25640,21781.94336,10939750,21691.32292,21646.01289
2016-03-25,25660,25800,25560,25760,21883.88281,7172300,21798.93099,21696.98516
2016-03-28,25760,26000,25760,25880,21985.82422,6060900,21883.88346,21788.73516
2016-03-29,25880,26000,25700,25800,21917.86328,8622700,21929.1901,21860.09609
2016-03-30,26200,26420,26040,26160,22223.69922,13380250,22042.46224,21958.64258
2016-03-31,26120,26280,25960,26240,22291.65625,19130750,22144.40625,22060.58516
2016-04-01,25980,26180,25420,25580,21730.9668,13557800,22082.10742,22030.00195
2016-04-04,25580,26100,25580,26100,22172.7207,9402300,22065.11458,22067.38125
2016-04-05,25980,25980,25200,25200,21408.14844,11815950,21770.61198,21965.43828
2016-04-06,25380,25820,25360,25700,21832.91211,9211700,21804.59375,21887.28086
2016-04-07,26000,26000,25160,25380,21561.05859,12939750,21600.70638,21741.16133
2016-04-08,25380,25380,24800,24920,21170.27539,12593400,21521.41536,21629.02305
2016-04-11,24920,25420,24920,25320,21510.08594,6034650,21413.80664,21496.49609
2016-04-12,25400,25620,25320,25500,21663.00391,6702700,21447.78841,21547.46719
2016-04-14,26000,26040,25780,26000,22087.76953,16766350,21753.61979,21598.43867
2016-04-15,26180,26200,25800,26000,22087.76953,6829950,21946.18099,21703.78086
2016-04-18,25900,26100,25840,25980,22070.7832,6423700,22082.10742,21883.88242
2016-04-19,25880,25920,25660,25760,21883.88281,7238300,22014.14518,21958.6418
2016-04-20,25640,26000,25640,25980,22070.7832,8598600,22008.48307,22040.19766
2016-04-21,26000,26020,25760,25880,21985.82422,7254450,21980.16341,22019.80859
2016-04-22,25880,25880,25540,25600,21747.95898,5741500,21934.85547,21951.84648
2016-04-25,25700,25700,25420,25620,21764.94922,4597850,21832.91081,21890.67969
2016-04-26,25700,26100,25660,25920,22019.80078,8345050,21844.23633,21917.86328
2016-04-27,25880,26000,25720,26000,22087.76953,8297300,21957.50651,21921.26055
2016-04-28,26000,26000,25220,25300,21493.09766,14653450,21866.88932,21822.71523
2016-04-29,25200,25340,24840,24900,21153.28711,16253900,21578.05143,21703.78086
2016-05-02,24940,25240,24900,25000,21238.23828,7027600,21294.87435,21598.43867
2016-05-03,25340,25400,25120,25220,21425.13867,7903300,21272.22135,21479.50625
2016-05-04,25440,25800,25240,25800,21917.86328,14702750,21527.08008,21445.525
2016-05-09,25800,26000,25700,25980,22070.7832,13718100,21804.59505,21561.06211
2016-05-10,25980,26000,25760,25920,22019.80078,8559550,22002.81576,21734.36484
2016-05-11,25920,25980,25740,25840,21951.8418,8834400,22014.14193,21877.08555
2016-05-12,25840,25840,25500,25620,21764.94922,7615100,21912.19727,21945.04766
2016-05-13,25620,25620,25020,25060,21289.21289,12284900,21668.66797,21819.31758
2016-05-16,25060,25260,24940,24960,21204.25977,11720150,21419.47396,21646.01289
2016-05-17,24980,25300,24980,25280,21476.10938,9183550,21323.19401,21537.27461
2016-05-18,25280,25420,25100,25360,21544.07031,9169600,21408.14648,21455.72031
2016-05-19,25360,25540,25320,25400,21578.04688,10012450,21532.74219,21418.33984
2016-05-20,25400,25600,25380,25380,21561.05859,7960550,21561.05859,21472.70898
2016-05-23,25380,25720,25380,25720,21849.9043,8112550,21663.00326,21601.83789
2016-05-24,25720,25780,25360,25420,21595.04297,10434600,21668.66862,21625.62461
2016-05-25,25660,25960,25480,25900,22002.81445,11862750,21815.92057,21717.37344
2016-05-26,25980,26060,25900,25920,22019.80078,12653650,21872.55273,21805.72422
2016-05-27,26000,26020,25460,25640,21781.94336,13744550,21934.85286,21849.90117
2016-05-30,25940,25940,25480,25600,21747.95898,10315350,21849.90104,21829.51211
2016-05-31,25600,26000,25360,25840,21951.8418,62527700,21827.24805,21900.87187
2016-06-01,25960,26820,25900,26660,22648.45898,23504000,22116.08659,22030.00078
2016-06-02,27000,27440,26920,27300,23192.15625,23806950,22597.48568,22264.47187
2016-06-03,27400,27580,27280,27540,23396.04688,17066200,23078.88737,22587.29258
2016-06-07,27720,28040,27600,27960,23752.84766,23142150,23447.01693,22988.27031
2016-06-08,28380,28380,27780,28120,23888.77344,18808100,23679.22266,23375.65664
2016-06-09,28160,28600,28120,28600,24296.54688,25768750,23979.38932,23705.27422
2016-06-10,28480,28500,28080,28120,23888.77344,14484050,24024.69792,23844.59766
2016-06-13,27920,27920,27240,27420,23294.10352,15248300,23826.47461,23824.20898
2016-06-14,27420,27720,27380,27600,23447.01367,12273050,23543.29688,23763.04219
2016-06-15,27700,28320,27660,28260,24007.70703,15334450,23582.94141,23786.82891
2016-06-16,28260,28340,27900,28180,23939.74609,14621550,23798.1556,23715.46875
2016-06-17,28200,28700,28200,28520,24228.58008,16419700,24058.67773,23783.43008
2016-06-20,28540,28960,28520,28620,24313.53711,13515800,24160.62109,23987.3168
2016-06-21,28640,28980,28520,28960,24602.37891,10020550,24381.4987,24218.38984
2016-06-22,28920,29000,28620,28900,24551.4082,8948250,24489.10807,24327.13008
2016-06-23,28880,28900,28540,28600,24296.54688,11256300,24483.44466,24398.49023
2016-06-24,28900,28900,27200,28000,23786.82813,20552600,24211.5944,24310.13984
2016-06-27,28000,28100,27700,27960,23752.84766,11839000,23945.40755,24198.00195
2016-06-28,27800,28080,27580,27980,23769.83984,10718950,23769.83854,24031.49414
2016-06-29,28160,28240,27820,27920,23735.83398,10527050,23752.84049,23868.3793
2016-06-30,28160,28900,27940,28500,24228.91406,13671700,23911.5293,23854.85273
2016-07-01,28540,29580,28540,29320,24926.02734,14393600,24296.92513,24082.69258
2016-07-04,29280,29480,29020,29320,24926.02734,7995000,24693.65625,24317.32852
2016-07-05,29320,29500,29240,29380,24977.03125,7870350,24943.02865,24558.7668
2016-07-06,28940,29040,28240,28420,24160.90234,16749150,24687.98698,24643.78047
2016-07-07,28420,29000,28320,29000,24653.98242,11495200,24597.30534,24728.79414
2016-07-08,29000,29500,28980,29200,24824.01172,13498150,24546.29883,24708.39102
2016-07-11,29200,30000,29200,29780,25317.08789,14056800,24931.69401,24786.60313
2016-07-12,29980,30100,29200,29280,24892.01758,11024700,25011.03906,24769.60039
2016-07-13,29920,29920,29260,29620,25181.06641,10009900,25130.05729,24973.6332
2016-07-14,29620,30000,29520,30000,25504.11914,12430250,25192.40104,25143.66055
2016-07-15,30000,30440,29720,30360,25810.16602,11623150,25498.45052,25340.89141
2016-07-18,30360,30660,30000,30660,26065.20313,11567200,25793.16276,25490.51445
2016-07-19,30560,30800,30440,30660,26065.20313,10122250,25980.19076,25725.15156
2016-07-20,30660,30840,30480,30800,26184.22656,7773150,26104.8776,25925.78359
2016-07-21,30800,30940,30740,30860,26235.23242,8544700,26161.55404,26072.00625
2016-07-22,30120,30560,30120,30320,25776.16016,8585150,26065.20638,26065.20508
2016-07-25,30000,30460,29900,30040,25538.12305,7732500,25849.83854,25959.78906
2016-07-26,30000,30620,29960,30600,26014.20117,7228500,25776.16146,25949.58867
2016-07-27,30240,30580,30240,30540,25963.19141,6335050,25838.50521,25905.38164
2016-07-28,30660,30720,29960,30140,25623.13867,9503700,25866.84375,25782.96289
2016-07-29,30400,31140,30220,30780,26167.22852,14985600,25917.85286,25861.17656
2016-08-01,31380,31600,31200,31360,26660.30469,11515400,26150.22396,26085.61289
2016-08-02,31360,31360,30920,30960,26320.24805,8315800,26382.59375,26146.82227
2016-08-03,30960,30960,30340,30340,25793.1582,7504900,26257.90365,26112.81563
2016-08-04,30380,30660,30340,30340,25793.1582,7009950,25968.85482,26146.81953
2016-08-05,30580,31280,30500,31220,26541.28711,6958850,26042.53451,26221.63125
2016-08-08,31320,31500,31120,31380,26677.30664,11125150,26337.25065,26225.03164
2016-08-09,31480,31580,31140,31340,26643.30273,9023200,26620.63216,26289.64258
2016-08-10,31340,31400,30680,30820,26201.23047,12340350,26507.27995,26371.25703
2016-08-11,30820,31180,30520,31180,26507.28125,10533600,26450.60482,26514.08164
2016-08-12,31180,31400,30880,30900,26269.24023,10474850,26325.91732,26459.67227
2016-08-16,30900,31520,30900,31360,26660.30469,10843100,26478.94206,26456.27187
2016-08-17,31380,31400,31020,31320,26626.30078,7446450,26518.61523,26452.87148
2016-08-18,31340,32880,31320,32800,27884.50195,18327050,27057.03581,26789.52578
2016-08-19,32760,33500,32720,33500,28479.5957,16805150,27663.46615,27183.98867
2016-08-22,33480,33840,33180,33300,28309.57227,12612200,28224.55664,27592.05508
2016-08-23,33300,33880,33140,33740,28683.63086,11545700,28490.93294,27996.72031
2016-08-24,33600,33640,32720,33060,28105.54297,15938550,28366.2487,28292.56875
2016-08-25,32600,33180,32440,32780,27867.49805,14173800,28218.89063,28289.16797
