"구분(1)",구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
"도시대기",제주,서귀포,동홍동,47,55,53,47,43,40,30,29,34,32**,27**,37
"국가배경농도",인천,옹진군,백령도,46,79,68,58,36,31,25,33,28,39,44,47
"국가배경농도",경북,울릉도,태하리,29,46,50,44,43,29,26,39**,-,32**,24*,25*
"국가배경농도",제주,북제주,고산리,47,57,55,54,46,40,35*,-,34,45,34,41
"교외대기",인천,강화군,석모리,50,80,67,55,54,48,-,35,38,49,41,53
"교외대기",인천,옹진군,덕적도,60,88,80,55,47,37,31,39,-,45,34,43
"교외대기",경기,이천,설성면,65,91,84,50,59,45,57*,47,38,65,47,67
"교외대기",경기,포천,관인면,55,92,80,54,52,41,28*,21**,23,37,28,45
"교외대기",강원,양구,방산면,44,69,66,44,49,38,26*,-,14,28,22,29
"교외대기",강원,고성,간성읍,35,57,68,42,43,28,18*,-,16,28,18,27
"교외대기",강원,정선,북평면,31,30**,57,38,43,29,24,31,-,40,26,38
"교외대기",강원,횡성,치악산,49,78,68,41,44,32,24,31,28,34,28,42
"교외대기",충북,괴산,청천면,55,80,72,39,48,33,19,29**,21,41,34,42
"교외대기",충남,태안,파도리,56,78,72,48,39,38,43**,37,34,52,47,57
"교외대기",충남,공주,사곡면,51,72,70,40,44,41,24**,30,24,45,35,44
"교외대기",전북,임실,운암면,44,61,66,41,41,42,26,27*,-,51*,31,45
"교외대기",전남,화순,송단리,29*,60,59,40,40,43*,-,22,24,41,25,31
"교외대기",경북,영덕,지품면,40,69,60,39,41,34,-,29,25,36,25,39
"교외대기",경북,영천,화북면,43,39**,-,-,39,33,26,28,24,28**,21**,32
"교외대기",경북,의성,안계,51,75,65,37,46,41,27*,-,25,44,37,49
"교외대기",경남,창원,대산면,65,83,65,54,70,97,-,33,21,17**,28*,50
"교외대기",경남,거제,저구리,43,65,56,49,48,41,32*,-,21,34,17,27
"교외대기",경남,거창,남상면,49,68,67,44,50,56*,-,26,23,46,32,50
"도로변대기",서울,서울,동대문,50,80,69,45,46,32,30,-,-,-,-,-
"도로변대기",서울,서울,서울역,59,96,79,50,51,39,34,37,31,49,39,55
"도로변대기",서울,서울,청계천로,49,81,65,44,46,40,36,38,31,47,35,49
"도로변대기",서울,서울,종로,52,92,82,52,48,38,36,40,34,46,38,52
"도로변대기",서울,서울,청량리,54,78,68,46,47,38,33,35,29,43,33,49
"도로변대기",서울,서울,신촌로,59,95,85,52,52,39,33,37,30,63,46,64
"도로변대기",서울,서울,영등포로,67,99,84,56,53,40,34,34,31,53,44,64
"도로변대기",서울,서울,신사동,55,90,75,47,49,44**,49**,35,30,48,35,50
"도로변대기",서울,서울,길동,57,90,72,51,52,43,37,37,29,45,40,50
"도로변대기",서울,서울,양재로,65,92,83,54,49,40,33,35,32,51,42,60
"도로변대기",서울,서울,강변북로,56,86,78,52,54,36,30,32,32,48,34,51
"도로변대기",서울,서울,태릉,52,82,68,48,43,35,29,33,30,50,40,58
"도로변대기",서울,서울,공항대로,73,107,96,59*,70,60,50,57,51,67,60,80
"도로변대기",서울,서울,동작대로,55,92,75,46,48,47,41,42,40,63,49,68
"도로변대기",서울,서울,내부순환로,54,86,74,48,44,35,30,35,31,50,38,52
"도로변대기",서울,서울,시도평균,57,90,77,50,50,40,35,38,33,-,41,57
"도로변대기",부산,부산,온천동,62,87,83,70,70,56,43,45,36,40**,45**,51
"도로변대기",부산,부산,초량동,45,65,70,59,65,55,43,44,40*,48**,39,43
"도로변대기",부산,부산,시도평균,53,76,76,65,67,55,43,44,37,-,41,47
"도로변대기",대구,대구,남산동,49,63,57,40,45,47,35,38,31**,44,33,47
"도로변대기",대구,대구,평리동,73,84,78,52,58,54,38,37,34**,63,53,83
"도로변대기",대구,대구,시도평균,61,74,68,46,52,50,36,37,32**,-,43,65
"도로변대기",인천,인천,석바위,48,74,65,49,43,34,28,32,27,20**,43**,67
"도로변대기",인천,인천,부평역,46,86,76,56,49,34,34,35,32,19**,24*,40
"도로변대기",인천,인천,송현,66,94,82,65,68,59,48,-,50*,59,53,68
"도로변대기",인천,인천,시도평균,53,85,74,56,53,44,36,34*,35,-,42,58
"도로변대기",광주,광주,치평동,69,81,86,60,57,57,42,41,32*,58**,45,57
"도로변대기",광주,광주,운암동,62,78,85,55,52,52,36,36,35*,53*,41**,55
"도로변대기",광주,광주,시도평균,65,80,85,57,55,55,39,38,33*,-,44*,56
"도로변대기",대전,대전,대흥동1,63,77,77,46,46,36,29,26**,30,59,51,66
"도로변대기",대전,대전,월평동,47,64,63,39,43,36,-,40,34,54,33,44
"도로변대기",대전,대전,시도평균,55,71,70,42,45,36,29**,38*,32,-,42,55
"도로변대기",울산,울산,신정로,44,59,54,39,47,44,31,34,-,43,34,40
